duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448141,0.019569,0,0,1,1,0.04,0.06,0,1,0.039216,0.04,0.06,0,0,0,0,1,1,anomaly
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266145,0.001957,0,0,1,1,0.01,0.06,0,1,0.003922,0,0.06,0,0,0,0,1,1,anomaly
0.000035,tcp,ftp_data,SF,0.000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.52549,0.337255,0.61,0.04,0.61,0.02,0,0,0,0,normal
0,icmp,eco_i,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.127202,0,0,0,0,1,0,1,0.011765,0.223529,1,0,1,0.28,0,0,0,0,anomaly
0.000017,tcp,telnet,RSTO,0,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.015656,0,0.12,1,0.5,1,0,0.75,0.113725,0.337255,0.31,0.17,0.03,0.02,0,0,0.83,0.71,anomaly
0,tcp,http,SF,0.000004,0.010784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007828,0.007828,0,0,0,0,1,0,0,0.607843,1,1,0,0.01,0.03,0.01,0,0,0,normal
0,tcp,smtp,SF,0.000016,0.000288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001957,0.005871,0,0,0,0,1,0,1,1,0.109804,0.11,0.72,0,0,0,0,0.72,0.04,normal
0,tcp,telnet,SF,0.000002,0.000129,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,1,1,0,0,0,0.01,0.01,0.02,0.02,anomaly
0,tcp,http,SF,0.000005,0.000347,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.064579,0.091977,0,0,0,0,1,0,0.04,0.592157,1,1,0,0.01,0.03,0,0,0,0,normal
0,tcp,ftp,SF,0,0.000117,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0.001957,0.001957,0,0,0,0,1,0,0,0.203922,0.101961,0.5,0.08,0.02,0,0,0,0,0,anomaly
0,tcp,telnet,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,1,0.501961,0.5,0.01,0,0,0,0,0.66,0.32,anomaly
0,tcp,smtp,SF,0.00001,0.000245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001957,0.003914,0,0,0,0,1,0,1,1,0.505882,0.51,0.03,0,0,0,0,0.33,0,normal
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217221,0.003914,0,0,1,1,0.02,0.07,0,1,0.007843,0.01,0.07,0,0,0,0,1,1,anomaly
0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234834,0.234834,1,1,0,0,1,0,0,0.921569,0.670588,0.73,0.07,0,0,0.69,0.95,0.02,0,anomaly
0.000641,tcp,telnet,SF,0.000012,0.270594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.001957,0.001957,0,0,0,0,1,0,0,0.14902,0.286275,0.16,0.05,0.03,0.04,0,0.77,0,0.07,normal
0,tcp,http,SF,0.000006,0.002682,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.015656,0.015656,0,0,0,0,1,0,0,0.278431,1,1,0,0.01,0.04,0,0,0,0,normal
0,tcp,http,SF,0.000003,0.00049,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.046967,0.046967,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,normal
0,tcp,http,SF,0.000004,0.001553,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.031311,0.031311,0,0,0,0,1,0,0,0.137255,1,1,0,0.03,0.05,0,0,0,0,normal
0,udp,private,SF,0.000001,0.000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988258,0.988258,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,normal
0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399217,0.035225,0,0,1,1,0.09,0.07,0,1,0.070588,0.07,0.07,0,0,0,0,1,1,anomaly
0,tcp,ldap,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23092,0.037182,0,0,1,1,0.16,0.05,0,1,0.07451,0.07,0.05,0,0,0,0,1,1,anomaly
